#path,beta,m_s,mu,,,nflux,"a, fm","T, MeV","qB, Gev^2"
beta_3.5275_m0.11224_muoverpit_0.0_b21/,3.5275,0.11224,0,0,0,21,0.231289,142.186107466587,4.28219778839421
beta_3.5275_m0.11224_muoverpit_0.14_b21/,3.5275,0.11224,0.0733,0.0733,0,21,0.231289,142.186107466587,4.28219778839421
beta_3.5275_m0.11224_muoverpit_0.17_b21/,3.5275,0.11224,0.08901,0.08901,0,21,0.231289,142.186107466587,4.28219778839421
beta_3.5275_m0.11224_muoverpit_0.1_b21/,3.5275,0.11224,0.05236,0.05236,0,21,0.231289,142.186107466587,4.28219778839421
beta_3.5275_m0.11224_muoverpit_0.20_b21/,3.5275,0.11224,0.10472,0.10472,0,21,0.231289,142.186107466587,4.28219778839421
beta_3.5275_m0.11224_muoverpit_0.22_b21/,3.5275,0.11224,0.11519,0.11519,0,21,0.231289,142.186107466587,4.28219778839421
beta_3.5275_m0.11224_muoverpit_0.24_b21/,3.5275,0.11224,0.12566,0.12566,0,21,0.231289,142.186107466587,4.28219778839421
beta_3.5275_m0.11224_muoverpit_0.275_b21/,3.5275,0.11224,0.14399,0.14399,0,21,0.231289,142.186107466587,4.28219778839421
beta_3.5107_m0.12067_muoverpit_0.0_b23/,3.5107,0.12067,0,0,0,23,0.24205,135.864832100143,4.28227986639776
beta_3.5107_m0.12067_muoverpit_0.14_b23/,3.5107,0.12067,0.0733,0.0733,0,23,0.24205,135.864832100143,4.28227986639776
beta_3.5107_m0.12067_muoverpit_0.17_b23/,3.5107,0.12067,0.08901,0.08901,0,23,0.24205,135.864832100143,4.28227986639776
beta_3.5107_m0.12067_muoverpit_0.1_b23/,3.5107,0.12067,0.05236,0.05236,0,23,0.24205,135.864832100143,4.28227986639776
beta_3.5107_m0.12067_muoverpit_0.20_b23/,3.5107,0.12067,0.10472,0.10472,0,23,0.24205,135.864832100143,4.28227986639776
beta_3.5107_m0.12067_muoverpit_0.22_b23/,3.5107,0.12067,0.11519,0.11519,0,23,0.24205,135.864832100143,4.28227986639776
beta_3.5107_m0.12067_muoverpit_0.24_b23/,3.5107,0.12067,0.12566,0.12566,0,23,0.24205,135.864832100143,4.28227986639776
beta_3.5107_m0.12067_muoverpit_0.275_b23/,3.5107,0.12067,0.14399,0.14399,0,23,0.24205,135.864832100143,4.28227986639776
beta_3.4949_m0.12889_muoverpit_0.0_b25/,3.4949,0.12889,0,0,0,25,0.252354,130.317263090102,4.28229919831414
beta_3.4949_m0.12889_muoverpit_0.14_b25/,3.4949,0.12889,0.0733,0.0733,0,25,0.252354,130.317263090102,4.28229919831414
beta_3.4949_m0.12889_muoverpit_0.17_b25/,3.4949,0.12889,0.08901,0.08901,0,25,0.252354,130.317263090102,4.28229919831414
beta_3.4949_m0.12889_muoverpit_0.1_b25/,3.4949,0.12889,0.05236,0.05236,0,25,0.252354,130.317263090102,4.28229919831414
beta_3.4949_m0.12889_muoverpit_0.20_b25/,3.4949,0.12889,0.10472,0.10472,0,25,0.252354,130.317263090102,4.28229919831414
beta_3.4949_m0.12889_muoverpit_0.22_b25/,3.4949,0.12889,0.11519,0.11519,0,25,0.252354,130.317263090102,4.28229919831414
beta_3.4949_m0.12889_muoverpit_0.24_b25/,3.4949,0.12889,0.12566,0.12566,0,25,0.252354,130.317263090102,4.28229919831414
beta_3.4949_m0.12889_muoverpit_0.275_b25/,3.4949,0.12889,0.14399,0.14399,0,25,0.252354,130.317263090102,4.28229919831414
beta_3.6248_m0.07529_muoverpit_0.0_b12/,3.6248,0.07529,0,0,0,12,0.174833,188.099973173483,4.28244517181237
beta_3.6248_m0.07529_muoverpit_0.14_b12/,3.6248,0.07529,0.0733,0.0733,0,12,0.174833,188.099973173483,4.28244517181237
beta_3.6248_m0.07529_muoverpit_0.17_b12/,3.6248,0.07529,0.08901,0.08901,0,12,0.174833,188.099973173483,4.28244517181237
beta_3.6248_m0.07529_muoverpit_0.1_b12/,3.6248,0.07529,0.05236,0.05236,0,12,0.174833,188.099973173483,4.28244517181237
beta_3.6248_m0.07529_muoverpit_0.20_b12/,3.6248,0.07529,0.10472,0.10472,0,12,0.174833,188.099973173483,4.28244517181237
beta_3.6248_m0.07529_muoverpit_0.22_b12/,3.6248,0.07529,0.11519,0.11519,0,12,0.174833,188.099973173483,4.28244517181237
beta_3.6248_m0.07529_muoverpit_0.24_b12/,3.6248,0.07529,0.12566,0.12566,0,12,0.174833,188.099973173483,4.28244517181237
beta_3.6248_m0.07529_muoverpit_0.275_b12/,3.6248,0.07529,0.14399,0.14399,0,12,0.174833,188.099973173483,4.28244517181237
beta_3.5757_m0.09161_muoverpit_0.0_b16/,3.5757,0.09161,0,0,0,16,0.201876,162.90238864372,4.28260466408577
beta_3.5757_m0.09161_muoverpit_0.14_b16/,3.5757,0.09161,0.0733,0.0733,0,16,0.201876,162.90238864372,4.28260466408577
beta_3.5757_m0.09161_muoverpit_0.17_b16/,3.5757,0.09161,0.08901,0.08901,0,16,0.201876,162.90238864372,4.28260466408577
beta_3.5757_m0.09161_muoverpit_0.1_b16/,3.5757,0.09161,0.05236,0.05236,0,16,0.201876,162.90238864372,4.28260466408577
beta_3.5757_m0.09161_muoverpit_0.20_b16/,3.5757,0.09161,0.10472,0.10472,0,16,0.201876,162.90238864372,4.28260466408577
beta_3.5757_m0.09161_muoverpit_0.22_b16/,3.5757,0.09161,0.11519,0.11519,0,16,0.201876,162.90238864372,4.28260466408577
beta_3.5757_m0.09161_muoverpit_0.24_b16/,3.5757,0.09161,0.12566,0.12566,0,16,0.201876,162.90238864372,4.28260466408577
beta_3.5757_m0.09161_muoverpit_0.275_b16/,3.5757,0.09161,0.14399,0.14399,0,16,0.201876,162.90238864372,4.28260466408577
beta_3.5027_m0.12462_muoverpit_0.0_b24/,3.5027,0.12462,0,0,0,24,0.247235,133.015481666591,4.28300639344861
beta_3.5027_m0.12462_muoverpit_0.14_b24/,3.5027,0.12462,0.0733,0.0733,0,24,0.247235,133.015481666591,4.28300639344861
beta_3.5027_m0.12462_muoverpit_0.17_b24/,3.5027,0.12462,0.08901,0.08901,0,24,0.247235,133.015481666591,4.28300639344861
beta_3.5027_m0.12462_muoverpit_0.1_b24/,3.5027,0.12462,0.05236,0.05236,0,24,0.247235,133.015481666591,4.28300639344861
beta_3.5027_m0.12462_muoverpit_0.20_b24/,3.5027,0.12462,0.10472,0.10472,0,24,0.247235,133.015481666591,4.28300639344861
beta_3.5027_m0.12462_muoverpit_0.22_b24/,3.5027,0.12462,0.11519,0.11519,0,24,0.247235,133.015481666591,4.28300639344861
beta_3.5027_m0.12462_muoverpit_0.24_b24/,3.5027,0.12462,0.12566,0.12566,0,24,0.247235,133.015481666591,4.28300639344861
beta_3.5027_m0.12462_muoverpit_0.275_b24/,3.5027,0.12462,0.14399,0.14399,0,24,0.247235,133.015481666591,4.28300639344861
beta_3.5457_m0.10390_muoverpit_0.0_b19/,3.5457,0.1039,0,0,0,19,0.219966,149.505299045487,4.2835108480346
beta_3.5457_m0.10390_muoverpit_0.14_b19/,3.5457,0.1039,0.0733,0.0733,0,19,0.219966,149.505299045487,4.2835108480346
beta_3.5457_m0.10390_muoverpit_0.17_b19/,3.5457,0.1039,0.08901,0.08901,0,19,0.219966,149.505299045487,4.2835108480346
beta_3.5457_m0.10390_muoverpit_0.1_b19/,3.5457,0.1039,0.05236,0.05236,0,19,0.219966,149.505299045487,4.2835108480346
beta_3.5457_m0.10390_muoverpit_0.20_b19/,3.5457,0.1039,0.10472,0.10472,0,19,0.219966,149.505299045487,4.2835108480346
beta_3.5457_m0.10390_muoverpit_0.22_b19/,3.5457,0.1039,0.11519,0.11519,0,19,0.219966,149.505299045487,4.2835108480346
beta_3.5457_m0.10390_muoverpit_0.24_b19/,3.5457,0.1039,0.12566,0.12566,0,19,0.219966,149.505299045487,4.2835108480346
beta_3.5457_m0.10390_muoverpit_0.275_b19/,3.5457,0.1039,0.14399,0.14399,0,19,0.219966,149.505299045487,4.2835108480346
beta_3.5870_m0.08746_muoverpit_0.0_b15/,3.587,0.08746,0,0,0,15,0.195416,168.287564016455,4.28477878652112
beta_3.5870_m0.08746_muoverpit_0.14_b15/,3.587,0.08746,0.0733,0.0733,0,15,0.195416,168.287564016455,4.28477878652112
beta_3.5870_m0.08746_muoverpit_0.17_b15/,3.587,0.08746,0.08901,0.08901,0,15,0.195416,168.287564016455,4.28477878652112
beta_3.5870_m0.08746_muoverpit_0.1_b15/,3.587,0.08746,0.05236,0.05236,0,15,0.195416,168.287564016455,4.28477878652112
beta_3.5870_m0.08746_muoverpit_0.20_b15/,3.587,0.08746,0.10472,0.10472,0,15,0.195416,168.287564016455,4.28477878652112
beta_3.5870_m0.08746_muoverpit_0.22_b15/,3.587,0.08746,0.11519,0.11519,0,15,0.195416,168.287564016455,4.28477878652112
beta_3.5870_m0.08746_muoverpit_0.24_b15/,3.587,0.08746,0.12566,0.12566,0,15,0.195416,168.287564016455,4.28477878652112
beta_3.5870_m0.08746_muoverpit_0.275_b15/,3.587,0.08746,0.14399,0.14399,0,15,0.195416,168.287564016455,4.28477878652112
beta_3.49486_m0.128891_muoverpit_0.0_b30/,3.49486,0.128891,0,0,0,30,0.25238,130.303837902526,5.13770031024179
beta_3.49486_m0.128891_muoverpit_0.14_b30/,3.49486,0.128891,0.0733,0.0733,0,30,0.25238,130.303837902526,5.13770031024179
beta_3.49486_m0.128891_muoverpit_0.17_b30/,3.49486,0.128891,0.08901,0.08901,0,30,0.25238,130.303837902526,5.13770031024179
beta_3.49486_m0.128891_muoverpit_0.1_b30/,3.49486,0.128891,0.05236,0.05236,0,30,0.25238,130.303837902526,5.13770031024179
beta_3.49486_m0.128891_muoverpit_0.20_b30/,3.49486,0.128891,0.10472,0.10472,0,30,0.25238,130.303837902526,5.13770031024179
beta_3.49486_m0.128891_muoverpit_0.22_b30/,3.49486,0.128891,0.11519,0.11519,0,30,0.25238,130.303837902526,5.13770031024179
beta_3.49486_m0.128891_muoverpit_0.24_b30/,3.49486,0.128891,0.12566,0.12566,0,30,0.25238,130.303837902526,5.13770031024179
beta_3.49486_m0.128891_muoverpit_0.275_b30/,3.49486,0.128891,0.14399,0.14399,0,30,0.25238,130.303837902526,5.13770031024179
beta_3.53638_m0.108054_muoverpit_0.0_b24/,3.53638,0.108054,0,0,0,24,0.225734,145.685109951711,5.13777015923073
beta_3.53638_m0.108054_muoverpit_0.14_b24/,3.53638,0.108054,0.0733,0.0733,0,24,0.225734,145.685109951711,5.13777015923073
beta_3.53638_m0.108054_muoverpit_0.17_b24/,3.53638,0.108054,0.08901,0.08901,0,24,0.225734,145.685109951711,5.13777015923073
beta_3.53638_m0.108054_muoverpit_0.1_b24/,3.53638,0.108054,0.05236,0.05236,0,24,0.225734,145.685109951711,5.13777015923073
beta_3.53638_m0.108054_muoverpit_0.20_b24/,3.53638,0.108054,0.10472,0.10472,0,24,0.225734,145.685109951711,5.13777015923073
beta_3.53638_m0.108054_muoverpit_0.22_b24/,3.53638,0.108054,0.11519,0.11519,0,24,0.225734,145.685109951711,5.13777015923073
beta_3.53638_m0.108054_muoverpit_0.24_b24/,3.53638,0.108054,0.12566,0.12566,0,24,0.225734,145.685109951711,5.13777015923073
beta_3.53638_m0.108054_muoverpit_0.275_b24/,3.53638,0.108054,0.14399,0.14399,0,24,0.225734,145.685109951711,5.13777015923073
beta_3.52179_m0.115094_muoverpit_0.0_b26/,3.52179,0.115094,0,0,0,26,0.234949,139.971153781627,5.13787496511326
beta_3.52179_m0.115094_muoverpit_0.14_b26/,3.52179,0.115094,0.0733,0.0733,0,26,0.234949,139.971153781627,5.13787496511326
beta_3.52179_m0.115094_muoverpit_0.17_b26/,3.52179,0.115094,0.08901,0.08901,0,26,0.234949,139.971153781627,5.13787496511326
beta_3.52179_m0.115094_muoverpit_0.1_b26/,3.52179,0.115094,0.05236,0.05236,0,26,0.234949,139.971153781627,5.13787496511326
beta_3.52179_m0.115094_muoverpit_0.20_b26/,3.52179,0.115094,0.10472,0.10472,0,26,0.234949,139.971153781627,5.13787496511326
beta_3.52179_m0.115094_muoverpit_0.22_b26/,3.52179,0.115094,0.11519,0.11519,0,26,0.234949,139.971153781627,5.13787496511326
beta_3.52179_m0.115094_muoverpit_0.24_b26/,3.52179,0.115094,0.12566,0.12566,0,26,0.234949,139.971153781627,5.13787496511326
beta_3.52179_m0.115094_muoverpit_0.275_b26/,3.52179,0.115094,0.14399,0.14399,0,26,0.234949,139.971153781627,5.13787496511326
beta_3.50796_m0.12199_muoverpit_0.0_b28/,3.50796,0.12199,0,0,0,28,0.243818,134.879634029643,5.13787917880009
beta_3.50796_m0.12199_muoverpit_0.14_b28/,3.50796,0.12199,0.0733,0.0733,0,28,0.243818,134.879634029643,5.13787917880009
beta_3.50796_m0.12199_muoverpit_0.17_b28/,3.50796,0.12199,0.08901,0.08901,0,28,0.243818,134.879634029643,5.13787917880009
beta_3.50796_m0.12199_muoverpit_0.1_b28/,3.50796,0.12199,0.05236,0.05236,0,28,0.243818,134.879634029643,5.13787917880009
beta_3.50796_m0.12199_muoverpit_0.20_b28/,3.50796,0.12199,0.10472,0.10472,0,28,0.243818,134.879634029643,5.13787917880009
beta_3.50796_m0.12199_muoverpit_0.22_b28/,3.50796,0.12199,0.11519,0.11519,0,28,0.243818,134.879634029643,5.13787917880009
beta_3.50796_m0.12199_muoverpit_0.24_b28/,3.50796,0.12199,0.12566,0.12566,0,28,0.243818,134.879634029643,5.13787917880009
beta_3.50796_m0.12199_muoverpit_0.275_b28/,3.50796,0.12199,0.14399,0.14399,0,28,0.243818,134.879634029643,5.13787917880009
beta_3.55189_m0.101188_muoverpit_0.0_b22/,3.55189,0.101188,0,0,0,22,0.216121,152.165141794826,5.13790569955452
beta_3.55189_m0.101188_muoverpit_0.14_b22/,3.55189,0.101188,0.0733,0.0733,0,22,0.216121,152.165141794826,5.13790569955452
beta_3.55189_m0.101188_muoverpit_0.17_b22/,3.55189,0.101188,0.08901,0.08901,0,22,0.216121,152.165141794826,5.13790569955452
beta_3.55189_m0.101188_muoverpit_0.1_b22/,3.55189,0.101188,0.05236,0.05236,0,22,0.216121,152.165141794826,5.13790569955452
beta_3.55189_m0.101188_muoverpit_0.20_b22/,3.55189,0.101188,0.10472,0.10472,0,22,0.216121,152.165141794826,5.13790569955452
beta_3.55189_m0.101188_muoverpit_0.22_b22/,3.55189,0.101188,0.11519,0.11519,0,22,0.216121,152.165141794826,5.13790569955452
beta_3.55189_m0.101188_muoverpit_0.24_b22/,3.55189,0.101188,0.12566,0.12566,0,22,0.216121,152.165141794826,5.13790569955452
beta_3.55189_m0.101188_muoverpit_0.275_b22/,3.55189,0.101188,0.14399,0.14399,0,22,0.216121,152.165141794826,5.13790569955452
beta_3.56855_m0.0943503_muoverpit_0.0_b20/,3.56855,0.0943503,0,0,0,20,0.206063,159.592370342272,5.13792007383943
beta_3.56855_m0.0943503_muoverpit_0.14_b20/,3.56855,0.0943503,0.0733,0.0733,0,20,0.206063,159.592370342272,5.13792007383943
beta_3.56855_m0.0943503_muoverpit_0.17_b20/,3.56855,0.0943503,0.08901,0.08901,0,20,0.206063,159.592370342272,5.13792007383943
