#Ls   Lt  mu  ma  nfluxes AxialCurrent Err
24 24 0.00 0.001 236 nan nan
24 24 0.00 0.001 237 nan nan
24 24 0.00 0.001 238 nan nan
24 24 0.00 0.001 239 nan nan
24 24 0.00 0.001 240 nan nan
24 24 0.00 0.001 241 nan nan
24 24 0.00 0.001 242 nan nan
24 24 0.00 0.001 243 nan nan
24 24 0.00 0.001 244 nan nan
24 24 0.00 0.001 245 -0.019775197623714 0.000571337896925
24 24 0.00 0.001 246 -0.020062747860567 0.000550422244111
24 24 0.00 0.001 247 nan nan
24 24 0.00 0.001 248 -0.010368850803643 0.000542224538356
24 24 0.00 0.001 249 nan nan
24 24 0.00 0.001 250 nan nan
24 24 0.00 0.001 251 nan nan
24 24 0.00 0.001 252 nan nan
24 24 0.00 0.001 253 nan nan
24 24 0.00 0.001 254 -0.009647627873006 0.000576739374229
24 24 0.00 0.001 255 nan nan
24 24 0.00 0.001 256 -0.021022523196724 0.000452156109138
24 24 0.00 0.001 257 -0.024633988636952 0.000617332148161
24 24 0.00 0.001 258 nan nan
24 24 0.00 0.001 259 -0.021849813529826 0.000583480772213
24 24 0.00 0.001 260 -0.015905784351361 0.000688136420447
24 24 0.00 0.001 261 -0.009304540291841 0.000438078145356
24 24 0.00 0.001 262 -0.003122085842082 0.000484858347112
24 24 0.00 0.001 263 0.000404130803806 0.000481571479426
24 24 0.00 0.001 264 0.000513283728948 0.000565295323343
24 24 0.00 0.001 265 -0.002466395677315 0.000507308323816
24 24 0.00 0.001 266 -0.009723355221189 0.000519755327996
24 24 0.00 0.001 267 nan nan
24 24 0.00 0.001 268 -0.024157346452425 0.000389406147782
24 24 0.00 0.001 269 nan nan
24 24 0.00 0.001 270 nan nan
24 24 0.00 0.001 271 nan nan
24 24 0.00 0.001 272 -0.019582747270875 0.000437817351906
24 24 0.00 0.001 273 nan nan
24 24 0.00 0.001 274 -0.005789326787022 0.000552520345146
24 24 0.00 0.001 275 nan nan
24 24 0.00 0.001 276 nan nan
24 24 0.00 0.001 277 -0.002942386217164 0.000444141620733
24 24 0.00 0.001 278 -0.009861970114008 0.000418104025467
24 24 0.00 0.001 279 nan nan
24 24 0.00 0.001 280 -0.025128653789430 0.000437199498944
24 24 0.00 0.001 281 nan nan
24 24 0.00 0.001 282 nan nan
24 24 0.00 0.001 283 nan nan
24 24 0.00 0.001 284 nan nan
24 24 0.00 0.001 285 nan nan
24 24 0.00 0.001 286 nan nan
24 24 0.00 0.001 287 nan nan
24 24 0.00 0.001 288 -0.000393202239034 0.000721875771039
